Trial,Hidden Size 1,Hidden Size 2,Dropout Rate,Learning Rate,Batch Size,Accuracy
0,107,19,0.44173865497201004,3.33727134811877e-05,26,0.9421393656928498
1,128,61,0.31439226033671186,0.03455724965645639,63,0.9453222689553257
2,77,53,0.3383847693432086,6.193079518115275e-05,38,0.9437308173240878
3,67,28,0.10633868000808828,0.023387047958779644,44,0.9449812436057747
4,55,45,0.31277750768806134,0.00013635881317188491,43,0.9431624417415028
5,92,55,0.4837876116498455,0.00023117242186525874,23,0.9435034670910538
6,95,36,0.4680870980734366,0.03326879957864753,26,0.9381607366147551
7,55,38,0.4012142269393204,0.03469620371688326,50,0.9408889394111629
8,122,51,0.1410837244030052,4.096555581609945e-05,30,0.9424803910424008
9,122,55,0.13080251647614216,0.004436946349730936,30,0.9463453450039786
10,38,63,0.20277832183372324,0.002187888990327022,16,0.9446402182562237
11,124,64,0.236150114162847,0.004083562369858388,63,0.9444128680231897
12,128,59,0.24479924665328487,0.008005395123265889,63,0.9404342389450949
13,110,47,0.36978004131605613,0.0009201300457527662,54,0.9439581675571217
14,108,58,0.2686768578452223,0.009978682674124514,35,0.9431624417415028
15,93,44,0.17615718904831223,0.09346667285512783,55,0.9354325338183471
16,115,31,0.2855088281091262,0.0007938592224026717,33,0.9435034670910538
17,100,49,0.3443960312686753,0.0027021142074632946,16,0.9431624417415028
18,118,59,0.19523818946721838,1.1054990076583596e-05,48,0.938274411731272
19,83,64,0.4101629709197906,0.012421869759978423,57,0.9440718426736388
20,33,41,0.11645232296690843,0.06335806287863861,39,0.9415709901102649
21,68,25,0.1097456332887259,0.020708890504090194,44,0.9452085938388087
22,70,25,0.15108526466019262,0.0163771936418079,59,0.9438444924406048
23,53,17,0.15321600864974733,0.005557494318683287,49,0.9450949187222917
24,82,32,0.222555302361577,0.052744716605390464,21,0.939183812663408
25,64,22,0.1062159508787212,0.0017423963259354225,31,0.9435034670910538
26,128,56,0.17563839660348823,0.0005211637814740862,45,0.9430487666249858
27,103,35,0.13394120527432132,0.01584398320185375,36,0.9422530408093668
28,46,42,0.3082726421339264,0.007427875001176571,41,0.9448675684892577
29,116,61,0.257550947325994,0.09949450166737794,28,0.8579061043537569
30,76,23,0.2093502304855337,0.0036868983965185937,52,0.9407752642946459
31,58,16,0.14886187782100008,0.005565379973886043,47,0.9417983403432989
32,47,16,0.1562855916185146,0.021463756176285934,60,0.9446402182562237
33,72,20,0.12351604817467582,0.03315991910038158,41,0.9399795384790269
34,63,27,0.1007397651819659,0.0013412110760342058,49,0.9439581675571217
35,48,19,0.17608632357716758,0.004920269498940423,37,0.9435034670910538
36,61,55,0.33576321180996566,0.00047129113354180715,45,0.9449812436057747
37,89,51,0.2764326217837384,0.03293619233425259,51,0.9430487666249858
38,50,28,0.32878074035225,0.011328773360437583,43,0.9435034670910538
39,53,22,0.366832221877591,0.022013807103817992,24,0.9422530408093668
40,121,31,0.4403750443698781,0.003048875915654011,53,0.9419120154598158
41,68,27,0.12709779205939492,0.0491868503496798,45,0.9422530408093668
42,76,38,0.10025620865986108,0.024155143487778277,43,0.9449812436057747
43,42,18,0.17362730075491178,0.00860333808849366,39,0.9462316698874617
44,41,19,0.16421140664914993,0.006927684522051903,33,0.9447538933727407
45,41,16,0.19159422501191026,0.010740853706303437,20,0.9444128680231897
46,32,62,0.13635028177607467,0.0017590017762048815,40,0.9464590201204957
47,32,61,0.1379908101165682,0.0016830183243070024,28,0.9452085938388087
48,37,57,0.29281621742619257,0.00015830598278638233,34,0.9439581675571217
49,43,61,0.23910294834518048,0.002255669305849787,40,0.9438444924406048
