Trial,Hidden Size 1,Hidden Size 2,Dropout Rate,Learning Rate,Batch Size,Accuracy
0,85,53,0.11575027750757352,0.03245367661353664,51,0.9410026145276799
1,68,26,0.3167053193207532,0.058590104996889894,51,0.9438444924406048
2,78,45,0.367835810890057,0.0018573713305110227,23,0.9460043196544277
3,72,22,0.3743961454979392,0.00023916543792409985,19,0.9425940661589178
4,49,39,0.2536293032028729,0.017264053227669874,64,0.9417983403432989
5,68,30,0.48338386851063697,0.0004319376049765508,50,0.9421393656928498
